=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
Italy (380) | Export | Somalia | HS 1508 | 2024 | 1135.417 | 208.0 | H6
Djibouti (262) | Export | Somalia | HS 1509 | 2021 | 93768.137 | 62824.3 | H3
Italy (380) | Export | Somalia | HS 1509 | 2021 | 10754.658 | 2250.0 | H5
Netherlands (528) | Export | Somalia | HS 1509 | 2021 | 24004.897 | 7023.0 | H5
Oman (512) | Export | Somalia | HS 1509 | 2021 | 139459.037 | 0.0 | H5
Oman (512) | Re-export | Somalia | HS 1509 | 2021 | 139459.037 | 0.0 | H5
Spain (724) | Export | Somalia | HS 1509 | 2021 | 90617.565 | 16630.0 | H5
Turkiye (792) | Export | Somalia | HS 1509 | 2021 | 840266.0 | 235104.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1509 | 2021 | 139663.871 | 79806.5 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1509 | 2021 | 82126.772 | 47579.0 | H5
Djibouti (262) | Export | Somalia | HS 1509 | 2022 | 12149.531 | 15706.0 | H3
Egypt (818) | Export | Somalia | HS 1509 | 2022 | 50.0 | 11.024 | H6
Italy (380) | Export | Somalia | HS 1509 | 2022 | 7362.916 | 1514.0 | H6
Netherlands (528) | Export | Somalia | HS 1509 | 2022 | 7636.709 | 2383.0 | H6
Oman (512) | Export | Somalia | HS 1509 | 2022 | 363118.335 | 100217.0 | H6
Oman (512) | Re-export | Somalia | HS 1509 | 2022 | 363118.335 | 100217.0 | H6
Spain (724) | Export | Somalia | HS 1509 | 2022 | 205502.903 | 41299.8 | H6
Turkiye (792) | Export | Somalia | HS 1509 | 2022 | 983768.0 | 226476.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1509 | 2022 | 189686.908 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1509 | 2022 | 184013.934 | 0.0 | H6
Djibouti (262) | Export | Somalia | HS 1509 | 2023 | 11325.542 | 14766.5 | H3
Italy (380) | Export | Somalia | HS 1509 | 2023 | 11045.159 | 1851.0 | H6
Netherlands (528) | Export | Somalia | HS 1509 | 2023 | 15738.946 | 3315.0 | H6
Oman (512) | Export | Somalia | HS 1509 | 2023 | 213349.805 | 51782.0 | H6
Oman (512) | Re-export | Somalia | HS 1509 | 2023 | 213349.805 | 51782.0 | H6
Spain (724) | Export | Somalia | HS 1509 | 2023 | 372738.595 | 74946.8 | H6
Turkiye (792) | Export | Somalia | HS 1509 | 2023 | 619718.0 | 123506.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1509 | 2023 | 540819.258 | 171361.7 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1509 | 2023 | 414635.297 | 129555.0 | H6
Yemen (887) | Export | Somalia | HS 1509 | 2023 | 766.258 | 1750.0 | H4
Netherlands (528) | Export | Somalia | HS 1509 | 2024 | 11191.814 | 1665.0 | H6
Oman (512) | Export | Somalia | HS 1509 | 2024 | 46.814 | 60.0 | H6
Pakistan (586) | Export | Somalia | HS 1509 | 2024 | 292.039 | 135.0 | H6
Spain (724) | Export | Somalia | HS 1509 | 2024 | 332306.374 | 34549.9 | H6
Turkiye (792) | Export | Somalia | HS 1509 | 2024 | 295880.0 | 37341.0 | H6
Yemen (887) | Export | Somalia | HS 1509 | 2024 | 5700.0 | 3290.0 | H5
Italy (380) | Export | Somalia | HS 1510 | 2021 | 38842.375 | 12074.0 | H5
South Africa (710) | Export | Somalia | HS 1510 | 2021 | 146936.009 | 131568.0 | H5
Spain (724) | Export | Somalia | HS 1510 | 2021 | 404280.26 | 85354.0 | H5
Turkiye (792) | Export | Somalia | HS 1510 | 2021 | 26953.0 | 7406.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1510 | 2021 | 8492.852 | 4153.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1510 | 2021 | 8492.852 | 4153.0 | H5
Oman (512) | Export | Somalia | HS 1510 | 2022 | 31360.208 | 10090.0 | H6
Oman (512) | Re-export | Somalia | HS 1510 | 2022 | 31360.208 | 10090.0 | H6
South Africa (710) | Export | Somalia | HS 1510 | 2022 | 326459.267 | 159530.0 | H6
Spain (724) | Export | Somalia | HS 1510 | 2022 | 425790.041 | 88102.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1510 | 2022 | 7707.011 | 0.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1510 | 2022 | 7707.011 | 0.0 | H6
South Africa (710) | Export | Somalia | HS 1510 | 2023 | 298290.47 | 464857.0 | H6
Spain (724) | Export | Somalia | HS 1510 | 2023 | 375320.318 | 58192.0 | H6
Turkiye (792) | Export | Somalia | HS 1510 | 2023 | 37073.0 | 7371.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1510 | 2023 | 2374.404 | 3600.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1510 | 2023 | 2374.404 | 3600.0 | H6
Yemen (887) | Export | Somalia | HS 1510 | 2023 | 1206.041 | 1100.0 | H4
Netherlands (528) | Export | Somalia | HS 1510 | 2024 | 473.0 | 90.0 | H6
Oman (512) | Export | Somalia | HS 1510 | 2024 | 73674.902 | 11735.0 | H6
Oman (512) | Re-export | Somalia | HS 1510 | 2024 | 73674.902 | 11735.0 | H6
South Africa (710) | Export | Somalia | HS 1510 | 2024 | 276026.765 | 152831.0 | H6
Spain (724) | Export | Somalia | HS 1510 | 2024 | 375299.198 | 59616.0 | H6
Spain (724) | Re-export | Somalia | HS 1510 | 2024 | 116496.487 | 19082.0 | H6
Turkiye (792) | Export | Somalia | HS 1510 | 2024 | 14804.0 | 3003.0 | H6
Yemen (887) | Export | Somalia | HS 1510 | 2024 | 2105.0 | 1015.0 | H5
Djibouti (262) | Export | Somalia | HS 1511 | 2021 | 488625.497 | 1280000.0 | H3
Ethiopia (231) | Export | Somalia | HS 1511 | 2021 | 95541.37 | 100000.0 | H5
Indonesia (360) | Export | Somalia | HS 1511 | 2021 | 34430838.501 | 29642360.0 | H5
Kenya (404) | Export | Somalia | HS 1511 | 2021 | 82864.251 | 45489.0 | H5
Kenya (404) | Re-export | Somalia | HS 1511 | 2021 | 82864.251 | 45489.0 | H5
Malaysia (458) | Export | Somalia | HS 1511 | 2021 | 59957490.551 | 53705600.0 | H5
Oman (512) | Export | Somalia | HS 1511 | 2021 | 13017310.773 | 10406589.0 | H5
Oman (512) | Re-export | Somalia | HS 1511 | 2021 | 512873.861 | 418717.0 | H5
Singapore (702) | Export | Somalia | HS 1511 | 2021 | 1753925.718 | 1264460.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1511 | 2021 | 70279868.153 | 53309370.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1511 | 2021 | 1510603.361 | 1387170.0 | H5
Djibouti (262) | Export | Somalia | HS 1511 | 2022 | 10396679.491 | 2922300.0 | H3
Indonesia (360) | Export | Somalia | HS 1511 | 2022 | 40628296.486 | 32366800.0 | H6
Italy (380) | Export | Somalia | HS 1511 | 2022 | 11895.237 | 1764.0 | H6
Kenya (404) | Export | Somalia | HS 1511 | 2022 | 4992897.498 | 3077222.7 | H6
Kenya (404) | Re-export | Somalia | HS 1511 | 2022 | 272334.873 | 289275.0 | H6
Malaysia (458) | Export | Somalia | HS 1511 | 2022 | 96262158.011 | 64318000.0 | H6
Oman (512) | Export | Somalia | HS 1511 | 2022 | 13559159.927 | 8327586.0 | H6
Oman (512) | Re-export | Somalia | HS 1511 | 2022 | 418468.14 | 222745.0 | H6
Singapore (702) | Export | Somalia | HS 1511 | 2022 | 3251640.226 | 2412000.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1511 | 2022 | 102256126.348 | 63709421.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1511 | 2022 | 1758101.244 | 1269469.0 | H6
Djibouti (262) | Export | Somalia | HS 1511 | 2023 | 15850759.102 | 11588584.937 | H3
Indonesia (360) | Export | Somalia | HS 1511 | 2023 | 32766076.748 | 33246584.0 | H6
Kenya (404) | Export | Somalia | HS 1511 | 2023 | 118910.49 | 117018.0 | H6
Kenya (404) | Re-export | Somalia | HS 1511 | 2023 | 118910.49 | 117018.0 | H6
Malaysia (458) | Export | Somalia | HS 1511 | 2023 | 91461847.353 | 86491000.0 | H6
Oman (512) | Export | Somalia | HS 1511 | 2023 | 6168057.208 | 5229362.0 | H6
Oman (512) | Re-export | Somalia | HS 1511 | 2023 | 294824.447 | 322773.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1511 | 2023 | 246749.06 | 177565.019 | H6
Singapore (702) | Export | Somalia | HS 1511 | 2023 | 155121.077 | 140620.0 | H6
