scenario,level,cluster,name,year,metric,value
low,line,c2,sesame,2031,total_va,506358.17307692306
low,line,c2,sesame,2031,household_income,227861.17788461538
low,line,c2,sesame,2031,import_substitution,160425.0
low,line,c2,sesame,2031,exports,3048075.0
low,line,c2,sesame,2031,imported_inputs,160425.0
low,line,c2,sesame,2031,forgone_exports,3208500.0
low,line,c2,sesame,2031,net_fx,-160425.0
low,line,c2,sesame,2031,jobs,21.599999999999998
low,line,c2,sesame,2031,investment,5999999.999999999
low,line,c2,sesame,2031,capital_goods_imports,5099999.999999999
low,line,c2,sesame,2031,tax_gross,12658.954326923078
low,line,c2,sesame,2031,customs_forgone,9625.5
low,line,c2,sesame,2031,tax_revenue,3033.454326923078
low,line,c2,sesame,2032,volume,4950.0
low,line,c2,sesame,2032,gross_output,4603500.0
low,line,c2,sesame,2032,value_added,460350.0
low,line,c2,sesame,2032,indirect_va,234778.5
low,line,c2,sesame,2032,induced_va,31385.400501672248
low,line,c2,sesame,2032,total_va,726513.9005016723
low,line,c2,sesame,2032,household_income,326931.25522575254
low,line,c2,sesame,2032,import_substitution,230175.0
low,line,c2,sesame,2032,exports,4373325.0
low,line,c2,sesame,2032,imported_inputs,230175.0
low,line,c2,sesame,2032,forgone_exports,4603500.0
low,line,c2,sesame,2032,net_fx,-230175.0
low,line,c2,sesame,2032,jobs,28.799999999999997
low,line,c2,sesame,2032,investment,6000000.000000002
low,line,c2,sesame,2032,capital_goods_imports,5100000.000000002
low,line,c2,sesame,2032,tax_gross,18162.847512541808
low,line,c2,sesame,2032,customs_forgone,13810.5
low,line,c2,sesame,2032,tax_revenue,4352.347512541808
low,line,c2,sesame_oil,2028,volume,15.0
low,line,c2,sesame_oil,2028,gross_output,6660.0
low,line,c2,sesame_oil,2028,value_added,532.8
low,line,c2,sesame_oil,2028,indirect_va,327.67199999999997
low,line,c2,sesame_oil,2028,induced_va,38.850742474916395
low,line,c2,sesame_oil,2028,total_va,899.3227424749164
low,line,c2,sesame_oil,2028,household_income,404.6952341137124
low,line,c2,sesame_oil,2028,import_substitution,4661.999999999999
low,line,c2,sesame_oil,2028,exports,1998.0000000000005
low,line,c2,sesame_oil,2028,imported_inputs,666.0
low,line,c2,sesame_oil,2028,forgone_exports,13950.0
low,line,c2,sesame_oil,2028,net_fx,-7956.0
low,line,c2,sesame_oil,2028,jobs,0.3
