id,parameter,low,base,high,national.value_added.2032.at_low,national.value_added.2032.at_high,national.value_added.2032.swing,national.total_va.2032.at_low,national.total_va.2032.at_high,national.total_va.2032.swing,national.total_va_share_gdp.2032.at_low,national.total_va_share_gdp.2032.at_high,national.total_va_share_gdp.2032.swing,national.household_income.2032.at_low,national.household_income.2032.at_high,national.household_income.2032.swing,national.tax_revenue.2032.at_low,national.tax_revenue.2032.at_high,national.tax_revenue.2032.swing,national.jobs.2032.at_low,national.jobs.2032.at_high,national.jobs.2032.swing,national.net_fx.2032.at_low,national.net_fx.2032.at_high,national.net_fx.2032.swing,climate.total.avoided_t.2032.at_low,climate.total.avoided_t.2032.at_high,climate.total.avoided_t.2032.swing
A-058,Sesame oil pressing and refining: direct jobs per unit of annual capacity in operation,0.005,0.008,0.012,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17824.8,17852.8,28.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-059,Sesame oil pressing and refining: capital cost per unit of annual capacity,500.0,800.0,1400.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-060,Sesame oil pressing and refining: share of output sold in Somalia (replacing imports); the rest is exported,0.5,0.7,0.9,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8912801991176473,0.8477345991176473,0.04354560000000007,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-061,Sesame oil pressing and refining: imported inputs as a share of gross output,0.02,0.05,0.1,89.760528,89.760528,0.0,200.56010294117644,200.48505882352939,0.0750441176470531,0.008232615441001411,0.008229535020954566,3.0804200468453197e-06,120.33606176470586,120.29103529411763,0.045026470588226175,0.8702953623529416,0.8681941270588235,0.002101235294118098,17836.8,17836.8,0.0,227.481336,227.209176,0.2721599999999853,239442.1673810272,239442.1673810272,0.0
A-062,"Sesame oil pressing and refining: share of domestic input supply that is additional (new production, not diverted from other buyers)",0.1,0.3,0.5,89.760528,89.760528,0.0,200.01290624999996,201.05101654411763,1.038110294117672,0.008210154044826492,0.008252766522141197,4.2612477314704286e-05,120.00774374999999,120.63060992647058,0.6228661764705947,0.8549738550000003,0.8840409432352944,0.029067088235294025,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-063,Sesame oil: share of seed that would otherwise have been exported raw,0.7,0.9,1.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,228.079836,227.028996,1.0508399999999938,239442.1673810272,239442.1673810272,0.0
A-068,Fruit processing and fresh fruit export: direct jobs per unit of annual capacity in operation,0.008,0.015,0.025,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17668.8,18076.8,408.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-069,Fruit processing and fresh fruit export: capital cost per unit of annual capacity,150.0,300.0,600.0,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8695073991176471,0.8695073991176471,0.0,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-070,Fruit processing and fresh fruit export: share of output sold in Somalia (replacing imports); the rest is exported,0.2,0.3,0.5,89.760528,89.760528,0.0,200.5319613970588,200.5319613970588,0.0,0.008231460283483844,0.008231460283483844,0.0,120.3191768382353,120.3191768382353,0.0,0.8840225991176472,0.8404769991176472,0.04354560000000007,17836.8,17836.8,0.0,227.832876,226.472076,1.3608000000000118,239442.1673810272,239442.1673810272,0.0
A-071,Fruit processing and fresh fruit export: imported inputs as a share of gross output,0.05,0.1,0.15,89.760528,89.760528,0.0,200.82379963235292,200.24012316176467,0.5836764705882445,0.008243439694777133,0.008219480872190554,2.395882258657972e-05,120.49427977941174,120.14407389705882,0.35020588235292394,0.8776788697058827,0.8613359285294119,0.016342941176470838,17836.8,17836.8,0.0,227.832876,226.925676,0.9071999999999889,239442.1673810272,239442.1673810272,0.0
